lemma,pos,sentiment,inflections,stem
einwandfrei,ADJX,0.0949,"einwandfreiem,einwandfreierer,einwandfreien,einwandfreieres,einwandfreiste,einwandfreieren,einwandfreier,einwandfreie,einwandfreies,einwandfreieste,einwandfreiere,einwandfreisten,einwandfreiester,einwandfreiest,einwandfreiestes,einwandfreistem,einwandfreierem,einwandfreistes,einwandfreiestem,einwandfreister,einwandfreiesten",einwandfrei
einweihen,VVINF,0.004,"einweihe,einweihst,einweiht,einweihest,einweihet,einweihte,einweihtest,einweihten,einweihtet,eingeweiht",einweih
einzigartig,ADJX,0.3078,"einzigartigstes,einzigartigster,einzigartigerer,einzigartigste,einzigartiger,einzigartigeres,einzigartiges,einzigartigeren,einzigartigerem,einzigartigem,einzigartigere,einzigartigen,einzigartige,einzigartigsten,einzigartigstem",einzigart
elegant,ADJX,0.2115,"eleganteren,eleganter,elegantes,eleganterem,elegantere,elegantesten,elegantestem,elegantestes,elegantester,elegante,elegantem,eleganterer,eleganteste,eleganten,eleganteres",elegant
empathisch,ADJX,0.004,"empathischste,empathischsten,empathischstem,empathischstes,empathischeres,empathischster,empathischerer,empathischeren,empathischerem,empathischer,empathisches,empathischen,empathischere,empathische,empathischem",empath
empfehlen,VVINF,0.004,"empfehle,empfiehlst,empfiehlt,empfehlt,empfehlest,empfehlet,empfahl,empfahlst,empfahlen,empfahlt,empfähle,empföhle,empfählest,empfählst,empföhlest,empföhlst,empfählen,empföhlen,empfählet,empfählt,empföhlet,empföhlt,empfohlen",empfehl
empfehlenswert,ADJX,0.093,"empfehlenswerteres,empfehlenswerterer,empfehlenswerteren,empfehlenswerterem,empfehlenswertestem,empfehlenswertestes,empfehlenswertester,empfehlenswerte,empfehlenswertere,empfehlenswertesten,empfehlenswertem,empfehlenswerten,empfehlenswerter,empfehlenswerteste,empfehlenswertes",empfehlenswert
energisch,ADJX,0.004,"energische,energischstes,energischer,energischster,energischere,energisches,energischen,energischsten,energischem,energischstem,energischerem,energischeren,energischste,energischeres,energischerer",energ
engagieren,VVINF,0.004,"engagiertet,engagierst,engagierte,engagieret,engagierest,engagierten,engagiertest,engagiere,engagiert",engagi
engagiert,VVINF,0.0869,"engagierteste,engagiertes,engagierte,engagiertestem,engagiertesten,engagiertestes,engagiertester,engagierteren,engagierteres,engagierterer,engagierten,engagiertem,engagiertere,engagierter,engagierterem",engagiert
enorm,ADJX,0.0898,"enormstes,enormere,enorme,enormen,enormem,enormes,enormer,enormste,enormerem,enormeren,enormstem,enormsten,enormerer,enormeres,enormster",enorm
enthusiastisch,ADJX,0.004,"enthusiastischem,enthusiastischen,enthusiastischstem,enthusiastischsten,enthusiastischstes,enthusiastischster,enthusiastischere,enthusiastische,enthusiastischerer,enthusiastischste,enthusiastischer,enthusiastischeres,enthusiastisches,enthusiastischerem,enthusiastischeren",enthusiast
entlasten,VVINF,0.004,"entlaste,entlastest,entlastet,entlastete,entlastetest,entlasteten,entlastetet",entlast
entlohnen,VVINF,0.004,"entlohne,entlohnst,entlohnt,entlohnest,entlohnet,entlohnte,entlohntest,entlohnten,entlohntet",entlohn
enträtseln,VVINF,0.004,"enträtsele,enträtsle,enträtselst,enträtselt,enträtselest,enträtslet,enträtselte,enträtseltest,enträtselten,enträtseltet",entratseln
entschlossen,ADJX,0.004,"entschlossenstem,entschlossensten,entschlossene,entschlossenerer,entschlossenster,entschlossenere,entschlosseneres,entschlossner,entschlossenem,entschlossenstes,entschlossenen,entschlossener,entschlossenes,entschlossnerem,entschlossnere,entschlossneren,entschlossnerer,entschlossenste,entschlossneres,entschlosseneren,entschlossenerem",entschloss
entschlüsseln,VVINF,0.004,"entschlüssele,entschlüsselt,entschlüsseltest,entschlüssel,entschlüsselten,entschlüsseltet,entschlüsselst,entschlüsselen,entschlüsselte,entschlüssle",entschlusseln
entschädigen,VVINF,0.004,"entschädige,entschädigst,entschädigt,entschädigest,entschädiget,entschädigte,entschädigtest,entschädigten,entschädigtet",entschad
entspannen,VVINF,0.2406,"entspannet,entspanntet,entspannst,entspannte,entspannten,entspannest,entspanne,entspanntest,entspannt",entspann
entwirren,VVINF,0.004,"entwirrtest,entwirrten,entwirrest,entwirrtet,entwirre,entwirrt,entwirrst,entwirret,entwirrte",entwirr
entzückend,ADJX,0.0844,"entzückendstem,entzückenderem,entzückenderen,entzückendste,entzückender,entzückendes,entzückende,entzückenden,entzückendem,entzückendstes,entzückendster,entzückenderes,entzückendsten,entzückendere,entzückenderer",entzuck
epochal,ADJX,0.004,"epochalem,epochalere,epochalen,epochalster,epochalstes,epochaleres,epochalerer,epochalerem,epochalste,epochaleren,epochale,epochalsten,epochales,epochaler,epochalstem",epochal
erarbeiten,VVINF,0.004,"erarbeitest,erarbeitetest,erarbeiteten,erarbeite,erarbeitete,erarbeitet,erarbeitetet,erarbeiten",erarbeit
erben,VVINF,0.004,"erbst,geerbt,erbt,erbest,erbe,erbten,erbtet,erbtest,erbet,erbte",erb
erfahren,ADJX,0.0927,"erfahrenere,erfahrensten,erfahrenstem,erfahrneren,erfahrenstes,erfahrnerem,erfahrenster,erfahrnere,erfahrneres,erfahrnerer,erfahrner,erfahrenes,erfahrener,erfahrenerer,erfahrene,erfahrenem,erfahreneres,erfahrenerem,erfahrenen,erfahreneren,erfahrenste",erfahr
erfolgreich,ADJX,0.2193,"erfolgreichstem,erfolgreicheres,erfolgreichste,erfolgreicherer,erfolgreicherem,erfolgreiches,erfolgreichsten,erfolgreicheren,erfolgreicher,erfolgreichstes,erfolgreichster,erfolgreichem,erfolgreichen,erfolgreiche,erfolgreichere",erfolgreich
erfreuen,VVINF,0.2112,"erfreutest,erfreuten,erfreutet,erfreut,erfreute,erfreust,erfreuet,erfreuest,erfreue",erfreu
erfreulich,ADJX,0.2197,"erfreulicher,erfreulicherem,erfreulicheren,erfreuliches,erfreulichsten,erfreulicherer,erfreulichste,erfreulichstem,erfreulicheres,erfreulichster,erfreuliche,erfreulichstes,erfreulichem,erfreulichen,erfreulichere",erfreulich
erfrischend,ADJX,0.2227,"erfrischende,erfrischendem,erfrischenden,erfrischender,erfrischendes,erfrischendere,erfrischenderem,erfrischenderen,erfrischenderer,erfrischenderes,erfrischendste,erfrischendstem,erfrischendsten,erfrischendster,erfrischendstes",erfrisch
erfüllen,VVINF,0.004,"erfüllten,erfüllest,erfüllte,erfüllst,erfüllet,erfülltet,erfülle,erfülltest,erfüllt",erfull
ergebnisreich,ADJX,0.004,"ergebnisreicherem,ergebnisreichstem,ergebnisreichsten,ergebnisreiches,ergebnisreichstes,ergebnisreicher,ergebnisreichster,ergebnisreichste,ergebnisreichen,ergebnisreichem,ergebnisreiche,ergebnisreichere,ergebnisreicherer,ergebnisreicheres,ergebnisreicheren",ergebnisreich
ergiebig,ADJX,0.004,"ergiebiger,ergiebigere,ergiebigen,ergiebigem,ergiebigerem,ergiebiges,ergiebigerer,ergiebigeres,ergiebigeren,ergiebigstes,ergiebigster,ergiebigste,ergiebigsten,ergiebige,ergiebigstem",ergieb
ergänzen,VVINF,0.2074,"ergänzte,ergänze,ergänzt,ergänzten,ergänzet,ergänzest,ergänztet,ergänztest",erganz
erhalten,VVINF,0.004,"erhalte,erhältst,erhält,erhaltet,erhaltest,erhielt,erhieltest,erhieltst,erhielten,erhieltet,erhielte",erhalt
erhebend,ADJX,0.004,"erhebendstem,erhebendsten,erhebender,erhebendes,erhebenden,erhebende,erhebendem,erhebendste,erhebendere,erhebenderer,erhebenderes,erhebendster,erhebenderen,erhebenderem,erhebendstes",erheb
erheblich,ADJX,0.004,"erheblichste,erheblicherem,erheblichsten,erhebliche,erheblicheres,erheblicherer,erhebliches,erheblicheren,erheblichstem,erheblichen,erheblichem,erheblichere,erheblichster,erheblicher,erheblichstes",erheb
erholen,VVINF,0.2357,"erholet,erholten,erholtet,erholest,erhole,erholt,erholtest,erholte,erholst",erhol
erholsam,ADJX,0.2188,"erholsamem,erholsamste,erholsamere,erholsameres,erholsameren,erholsamerer,erholsamerem,erholsamster,erholsamstes,erholsamsten,erholsamstem,erholsame,erholsamer,erholsames,erholsamen",erholsam
erhältlich,ADJX,0.004,"erhältlichere,erhältliches,erhältlicher,erhältlichstem,erhältlichsten,erhältlichste,erhältlicheres,erhältlicherer,erhältliche,erhältlicheren,erhältlicherem,erhältlichster,erhältlichem,erhältlichstes,erhältlichen",erhalt
erhöhen,VVINF,0.004,"erhöhtest,erhöhet,erhöht,erhöhest,erhöhte,erhöhst,erhöhten,erhöhtet,erhöhe",erhoh
erkennbar,ADJX,0.004,"erkennbare,erkennbarste,erkennbarer,erkennbarstes,erkennbares,erkennbarster,erkennbarerer,erkennbareres,erkennbarem,erkennbareren,erkennbarstem,erkennbaren,erkennbarere,erkennbarsten,erkennbarerem",erkennbar
erklimmen,VVINF,0.004,"erklimme,erklimmst,erklimmt,erklimmest,erklimmet,erklomm,erklommst,erklommen,erklommt,erklömme,erklömmest,erklömmst,erklömmen,erklömmet,erklömmt",erklimm
erklärt,VVINF,0.004,"erklärte,erklärter,erklärtere,erklärtes,erklärten,erklärtem,erklärteren,erklärterem,erklärteste,erklärterer,erklärteres,erklärtester,erklärtestes,erklärtestem,erklärtesten",erklart
erlauben,VVINF,0.004,"erlaubst,erlaubtet,erlaube,erlaubt,erlaubtest,erlaubte,erlaubest,erlaubet,erlaubten",erlaub
erleichtern,VVINF,0.004,"erleichterten,erleichterte,erleichterst,erleichtert,erleichtere,erleichteren,erleichtertest,erleichtertet",erleicht
erleuchten,VVINF,0.004,"erleuchte,erleuchtest,erleuchtet,erleuchtete,erleuchtetest,erleuchteten,erleuchtetet",erleucht
erlösen,VVINF,0.004,"erlöset,erlöse,erlöst,erlösten,erlöste,erlöstest,erlöstet,erlösest",erlos
ermunternd,ADJX,0.004,"ermunternde,ermunterndem,ermunternden,ermunternder,ermunterndes,ermunterndere,ermunternderem,ermunternderen,ermunternderer,ermunternderes,ermunterndste,ermunterndstem,ermunterndsten,ermunterndster,ermunterndstes",ermunternd
ermutigen,VVINF,0.004,"ermutiget,ermutigst,ermutigest,ermutige,ermutigte,ermutigtet,ermutigt,ermutigtest,ermutigten",ermut
ermutigend,ADJX,0.0735,"ermutigende,ermutigendem,ermutigenden,ermutigender,ermutigendes,ermutigendere,ermutigenderem,ermutigenderen,ermutigenderer,ermutigenderes,ermutigendste,ermutigendstem,ermutigendsten,ermutigendster,ermutigendstes",ermut
ermöglichen,VVINF,0.004,"ermögliche,ermöglicht,ermöglichst,ermöglichtet,ermöglichte,ermöglichtest,ermöglichet,ermöglichest,ermöglichten",ermog
erneuern,VVINF,0.004,"erneuertet,erneuertest,erneuere,erneuert,erneuerst,erneuerte,erneueren,erneuerten",erneu
ernsthaft,ADJX,0.004,"ernsthaftem,ernsthaften,ernsthafter,ernsthaftes,ernsthafteres,ernsthafterer,ernsthafterem,ernsthafteren,ernsthaftester,ernsthaftestes,ernsthaftesten,ernsthafteste,ernsthafte,ernsthaftestem,ernsthaftere",ernsthaft
erreichen,VVINF,0.004,"erreichten,erreichst,erreichte,erreichtet,erreichest,erreichet,erreiche,erreicht,erreichtest",erreich
erschaffen,VVINF,0.004,"erschaffe,erschaffst,erschafft,erschaffest,erschaffet,erschuf,erschufst,erschufen,erschüfe,erschüfest,erschüfst,erschüfen,erschüfet,erschüft",erschaff
erschlossen,ADJX,0.004,"erschlossene,erschlossenem,erschlossenen,erschlossener,erschlossenes",erschloss
ersprießlich,ADJX,0.004,"ersprießlicher,ersprießliches,ersprießlichere,ersprießlichste,ersprießlichem,ersprießlichen,ersprießlicherer,ersprießlicheren,ersprießlicherem,ersprießlichstem,ersprießlichsten,ersprießliche,ersprießlichster,ersprießlichstes,ersprießlicheres",erspriess
erstaunen,VVINF,0.004,"erstaunten,erstaunte,erstaunst,erstaunet,erstauntet,erstauntest,erstaunt,erstaune,erstaunest",erstaun
erstaunlich,ADJX,0.004,"erstaunlichste,erstaunlichere,erstaunlicheren,erstaunliches,erstaunlichstem,erstaunlicher,erstaunlicherem,erstaunlichstes,erstaunlichem,erstaunlichster,erstaunlichen,erstaunlicheres,erstaunlichsten,erstaunliche,erstaunlicherer",erstaun
erstklassig,ADJX,0.1967,"erstklassige,erstklassigste,erstklassigeres,erstklassiges,erstklassigerer,erstklassigstem,erstklassigsten,erstklassiger,erstklassigster,erstklassigem,erstklassigstes,erstklassigen,erstklassigere,erstklassigeren,erstklassigerem",erstklass
erstrangig,ADJX,0.004,"erstrangigste,erstrangigstes,erstrangigster,erstrangiger,erstrangiges,erstrangige,erstrangigem,erstrangigere,erstrangigen,erstrangigeren,erstrangigerem,erstrangigsten,erstrangigeres,erstrangigerer,erstrangigstem",erstrang
erstrebenswert,ADJX,0.0765,"erstrebenswerten,erstrebenswerteres,erstrebenswertem,erstrebenswerter,erstrebenswertes,erstrebenswertestem,erstrebenswertesten,erstrebenswerterer,erstrebenswertester,erstrebenswertestes,erstrebenswerteste,erstrebenswerte,erstrebenswerteren,erstrebenswerterem,erstrebenswertere",erstrebenswert
ertragreich,ADJX,0.004,"ertragreichere,ertragreichstem,ertragreichem,ertragreichen,ertragreicherem,ertragreichsten,ertragreicher,ertragreiches,ertragreichster,ertragreichstes,ertragreiche,ertragreicheres,ertragreicherer,ertragreicheren,ertragreichste",ertragreich
erweitern,VVINF,0.004,"erweitere,erweiterten,erweiteren,erweiterst,erweitertest,erweitertet,erweiterte,erweitert",erweit
erweitert,ADJX,0.004,"erweiterte,erweitertem,erweiterten,erweiterter,erweitertes,erweitertere,erweiterterem,erweiterteren,erweiterterer,erweiterteres,erweitertste,erweitertstem,erweitertsten,erweitertster,erweitertstes",erweitert
erwünscht,ADJX,0.004,"erwünschtesten,erwünschtestem,erwünschten,erwünschtem,erwünschte,erwünschterer,erwünschteres,erwünschtes,erwünschter,erwünschteste,erwünschtestes,erwünschtester,erwünschteren,erwünschtere,erwünschterem",erwunscht
erzeugen,VVINF,0.004,"erzeuge,erzeugten,erzeuget,erzeugtest,erzeugest,erzeugte,erzeugst,erzeugt,erzeugtet",erzeug
erzielen,VVINF,0.004,"erzielst,erzielte,erzielest,erziele,erzielt,erzieltest,erzielten,erzielet,erzieltet",erziel
etabliert,ADJX,0.004,"etablierteste,etablierterem,etabliertere,etabliertestes,etabliertester,etabliertem,etablierten,etablierte,etablierter,etablierteren,etabliertes,etablierterer,etablierteres,etabliertesten,etabliertestem",etabliert
euphorisch,ADJX,0.5505,"euphorischerem,euphorische,euphorisches,euphorischstes,euphorischster,euphorischste,euphorischeres,euphorischstem,euphorischerer,euphorischem,euphorischen,euphorischere,euphorischeren,euphorischsten,euphorischer",euphor
exakt,ADJX,0.004,"exaktere,exakterer,exaktem,exakteres,exakte,exaktes,exakter,exakteste,exaktestem,exakterem,exakten,exakteren,exaktester,exaktestes,exaktesten",exakt
exklusiv,ADJX,0.004,"exklusivstem,exklusivsten,exklusivster,exklusivstes,exklusivem,exklusiven,exklusives,exklusiver,exklusivste,exklusiverem,exklusiveren,exklusive,exklusiveres,exklusivere,exklusiverer",exklusiv
exorbitant,ADJX,0.004,"exorbitante,exorbitanteres,exorbitantestem,exorbitantesten,exorbitanterer,exorbitanter,exorbitantere,exorbitantes,exorbitantem,exorbitanten,exorbitanteren,exorbitanterem,exorbitanteste,exorbitantestes,exorbitantester",exorbitant
exotisch,ADJX,0.1944,"exotischste,exotische,exotischerer,exotischem,exotischeres,exotischer,exotisches,exotischstem,exotischsten,exotischstes,exotischen,exotischster,exotischere,exotischerem,exotischeren",exot
explosiv,ADJX,0.004,"explosive,explosivstes,explosiver,explosivster,explosives,explosiven,explosiverer,explosivsten,explosivem,explosiveres,explosivstem,explosivere,explosiveren,explosiverem,explosivste",explosiv
exponiert,VVINF,0.004,"exponierte,exponierteren,exponierteres,exponierterer,exponiertes,exponiertere,exponierteste,exponiertester,exponierterem,exponiertestes,exponiertestem,exponiertesten,exponiertem,exponierten,exponierter",exponiert
exquisit,ADJX,0.004,"exquisiteste,exquisite,exquisitere,exquisitestes,exquisitem,exquisiten,exquisiterer,exquisiter,exquisiteres,exquisites,exquisitestem,exquisitesten,exquisiteren,exquisitester,exquisiterem",exquisit
extravagant,ADJX,0.004,"extravagante,extravaganteste,extravaganterem,extravaganteren,extravaganteres,extravagantere,extravaganterer,extravagantestes,extravaganten,extravagantester,extravagantem,extravagantestem,extravaganter,extravagantesten,extravagantes",extravagant
exzellent,ADJX,0.4198,"exzellentere,exzellenterem,exzellenteren,exzellenterer,exzellenteres,exzellente,exzellentesten,exzellenteste,exzellentestem,exzellentester,exzellentestes,exzellenten,exzellentem,exzellentes,exzellenter",exzellent
fabelhaft,ADJX,0.1952,"fabelhafteste,fabelhafterer,fabelhaftestes,fabelhaftester,fabelhafte,fabelhafteren,fabelhaftestem,fabelhaftem,fabelhafterem,fabelhaften,fabelhaftesten,fabelhaftes,fabelhafter,fabelhafteres,fabelhaftere",fabelhaft
fair,ADJX,0.3281,"fairen,fairem,fairster,fairstes,fairste,fairerem,faireren,fairstem,fairerer,fairsten,faireres,fairere,faires,fairer,faire",fair
famos,ADJX,0.2018,"famoserem,famoses,famoseste,famoser,famoseren,famosere,famose,famosestem,famosesten,famosester,famosestes,famosem,famoseres,famosen,famoserer",famos
fantasievoll,ADJX,0.004,"fantasievolle,fantasievolleren,fantasievollerem,fantasievoller,fantasievollsten,fantasievollstem,fantasievolles,fantasievollstes,fantasievollen,fantasievollster,fantasievollem,fantasievolleres,fantasievollerer,fantasievollere,fantasievollste",fantasievoll
fantastisch,ADJX,0.3319,"fantastische,fantastischem,fantastischen,fantastischer,fantastisches,fantastischere,fantastischerem,fantastischeren,fantastischerer,fantastischeres,fantastischste,fantastischstem,fantastischsten,fantastischster,fantastischstes",fantast
faszinieren,VVINF,0.0663,"fasziniere,fasziniert,fasziniertet,faszinierst,faszinierte,faszinierten,faszinieret,fasziniertest,faszinierest",faszini
faszinierend,ADJX,0.3037,"faszinierende,faszinierendem,faszinierenden,faszinierender,faszinierendes,faszinierendere,faszinierenderem,faszinierenderen,faszinierenderer,faszinierenderes,faszinierendste,faszinierendstem,faszinierendsten,faszinierendster,faszinierendstes",faszinier
favorisieren,VVINF,0.004,"favorisierst,favorisieret,favorisier,favorisierte,favorisiertet,favorisierest,favorisiere,favorisierten,favorisiert",favorisi
fehlerfrei,ADJX,0.004,"fehlerfreistes,fehlerfreister,fehlerfreiste,fehlerfreie,fehlerfreiere,fehlerfreiest,fehlerfreisten,fehlerfreistem,fehlerfreiesten,fehlerfreiestem,fehlerfreiestes,fehlerfreiem,fehlerfreien,fehlerfreierem,fehlerfreies,fehlerfreiester,fehlerfreier,fehlerfreieren,fehlerfreieres,fehlerfreierer,fehlerfreieste",fehlerfrei
feiern,VVINF,0.494,"gefeiert,feiert,feiertest,feiere,feiertet,feierest,feieret,feierte,feierten,feieren,feierst",feiern
fein,ADJX,0.4734,"feinem,feinen,feinsten,feinstem,feinstes,feinster,feine,feinere,feinerem,feinste,feineren,feines,feiner,feinerer,feineres",fein
fertig,ADJX,0.3757,"fertigstes,fertigster,fertigstem,fertigsten,fertigeres,fertigem,fertigerer,fertigere,fertige,fertiger,fertigste,fertiges,fertigen,fertigerem,fertigeren",fertig
fertigen,VVINF,0.004,"fertigten,fertigest,fertige,fertigt,fertigtest,fertiget,gefertigt,fertigtet,fertigte,fertigst",fertig
fesch,ADJX,0.0806,"feschen,feschem,feschester,feschere,fescherem,fesches,feschestes,fescher,fescheren,feschesten,feschestem,feschstes,fescheste,feschste,fescherer,fesche,feschster,feschst,feschsten,feschstem,fescheres",fesch
fesselnd,ADJX,0.004,"fesselnde,fesselndem,fesselnden,fesselnder,fesselndes,fesselndere,fesselnderem,fesselnderen,fesselnderer,fesselnderes,fesselndste,fesselndstem,fesselndsten,fesselndster,fesselndstes",fesselnd
festlich,ADJX,0.2021,"festlicher,festlichere,festlicherem,festlichen,festlichem,festlichstes,festlichster,festlicheren,festlicheres,festlicherer,festlichstem,festlichsten,festliche,festliches,festlichste",festlich
fidel,ADJX,0.004,"fidelerem,fideleren,fidelste,fidelere,fidelster,fideleres,fidelstes,fidelerer,fidelsten,fidelstem,fidele,fidelen,fidelem,fideles,fideler",fidel
finanzieren,VVINF,0.004,"fasziniere,faszinierst,fasziniert,faszinierest,faszinieret,faszinierte,fasziniertest,faszinierten,fasziniertet",finanzi
findig,ADJX,0.004,"findigem,findigerem,findigeren,findige,findigerer,findigere,findigste,findigstem,findigsten,findigeres,findigstes,findigster,findiges,findiger,findigen",findig
fit,ADJX,0.3686,"fitte,fittem,fitten,fitter,fittes,fittere,fitterem,fitteren,fitterer,fitteres,fitteste,fittestem,fittesten,fittester,fittestes",fit
fleißig,ADJX,0.3571,"fleißigste,fleißige,fleißigem,fleißigstes,fleißigster,fleißiges,fleißiger,fleißigere,fleißigen,fleißigerer,fleißigeres,fleißigeren,fleißigstem,fleißigsten,fleißigerem",fleissig
flexibel,ADJX,0.004,"flexiblen,flexiblem,flexibler,flexiblerem,flexibles,flexible,flexiblere,flexibelstes,flexibelste,flexibleren,flexibelster,flexibleres,flexiblerer,flexibelstem,flexibelsten",flexibel
flink,ADJX,0.0878,"flinkeren,flinkem,flinken,flinkerem,flinke,flinkes,flinker,flinkstes,flinkster,flinkste,flinkerer,flinkstem,flinkere,flinkeres,flinksten",flink
florieren,VVINF,0.004,"florierte,florierst,florierest,floriertet,florierten,floriert,florieret,floriertest,floriere",flori
flott,ADJX,0.3394,"flotte,flotteste,flotterem,flotteren,flotten,flotterer,flottem,flottester,flotter,flottestes,flottes,flotteres,flottesten,flottestem,flottere",flott
flüssig,ADJX,0.2229,"flüssigere,flüssigste,flüssige,flüssigster,flüssiges,flüssigstes,flüssiger,flüssigen,flüssigerer,flüssigem,flüssigeres,flüssigeren,flüssigstem,flüssigsten,flüssigerem",flussig
formvollendet,ADJX,0.004,"formvollendetstes,formvollendeteres,formvollendetster,formvollendetem,formvollendeten,formvollendetstem,formvollendetsten,formvollendeter,formvollendeterer,formvollendetes,formvollendeterem,formvollendeteren,formvollendetste,formvollendetere,formvollendete",formvollendet
fortdauernd,ADJX,0.004,"fortdauernde,fortdauerndem,fortdauernden,fortdauernder,fortdauerndes,fortdauerndere,fortdauernderem,fortdauernderen,fortdauernderer,fortdauernderes,fortdauerndste,fortdauerndstem,fortdauerndsten,fortdauerndster,fortdauerndstes",fortdauernd
fortschreiten,VVINF,0.004,"fortschreite,fortschreitest,fortschreitet,fortschritt,fortschrittest,fortschritten,fortschrittet,fortschritte,fortgeschritten",fortschreit
frei,ADJX,0.004,"freiestem,freiesten,freiste,freistem,freisten,freistes,freister,freieres,freiere,freierer,freieste,freiest,freier,freieren,freiester,freierem,freies,freien,freiestes,freiem,freie",frei
freikommen,VVINF,0.004,"freikomme,freikommst,freikommt,freikommest,freikommet,freikam,freikamst,freikamen,freikamt,freikäme,freikämest,freikämst,freikämen,freikämet,freikämt,freigekommen",freikomm
freisprechen,VVINF,0.004,"freispreche,freisprichst,freispricht,freisprecht,freisprechest,freisprechet,freisprach,freisprachst,freisprachen,freispracht,freispräche,freisprächest,freisprächst,freisprächen,freisprächet,freisprächt",freisprech
freiwillig,ADJX,0.004,"freiwilligste,freiwilligere,freiwilligster,freiwilligstes,freiwilligeren,freiwilligerem,freiwilligsten,freiwilligstem,freiwillige,freiwilliger,freiwilliges,freiwilligem,freiwilligeres,freiwilligen,freiwilligerer",freiwill
freudig,ADJX,0.3256,"freudigstem,freudigere,freudigste,freudigeren,freudigerem,freudigen,freudigem,freudiger,freudige,freudigeres,freudiges,freudigerer,freudigster,freudigstes,freudigsten",freudig
freuen,VVINF,0.2198,"freute,freust,freutest,freut,freue,freuet,freuten,freuest,freutet,gefreut",freu
freundlich,ADJX,0.6022,"freundlichsten,freundlichstem,freundlicheren,freundlichen,freundlicherem,freundlichem,freundlicheres,freundlicherer,freundlichere,freundlicher,freundliche,freundlichster,freundlichste,freundlichstes,freundliches",freundlich
freundschaftlich,ADJX,0.004,"freundschaftlichste,freundschaftliche,freundschaftlicherer,freundschaftlicheres,freundschaftlicheren,freundschaftlicherem,freundschaftlichem,freundschaftlichsten,freundschaftlichstem,freundschaftlichen,freundschaftlichere,freundschaftlicher,freundschaftliches,freundschaftlichstes,freundschaftlichster",freundschaft
friedlich,ADJX,0.0924,"friedlichsten,friedliches,friedlicherem,friedliche,friedlichster,friedlichste,friedlichstes,friedlicheren,friedlicher,friedlicheres,friedlicherer,friedlichem,friedlichen,friedlichere,friedlichstem",friedlich
friedvoll,ADJX,0.0908,"friedvolle,friedvollem,friedvollen,friedvoller,friedvolles,friedvollere,friedvollerem,friedvolleren,friedvollerer,friedvolleres,friedvollste,friedvollstem,friedvollsten,friedvollster,friedvollstes",friedvoll
froh,ADJX,0.1364,"froher,frohes,froheres,frohster,frohstes,frohe,frohere,frohste,frohstem,frohsten,froheren,froherem,frohem,froherer,frohen",froh
frohlocken,VVINF,0.004,"frohlocktest,frohlocke,frohlockt,frohlockte,frohlocket,frohlock,frohlockten,frohlockest,frohlocktet,gefrohlockt",frohlock
fruchtbar,ADJX,0.0878,"fruchtbarster,fruchtbarste,fruchtbarstes,fruchtbarsten,fruchtbarere,fruchtbarstem,fruchtbaren,fruchtbarerer,fruchtbarem,fruchtbarerem,fruchtbare,fruchtbareren,fruchtbarer,fruchtbares,fruchtbareres",fruchtbar
fröhlich,ADJX,0.2501,"fröhlichen,fröhlichere,fröhlicherer,fröhlichem,fröhlicheres,fröhlichstes,fröhliche,fröhlichster,fröhlicher,fröhlichstem,fröhlichsten,fröhliches,fröhlicheren,fröhlicherem,fröhlichste",frohlich
fulminant,ADJX,0.004,"fulminantestem,fulminantesten,fulminanteren,fulminanteres,fulminanterer,fulminantes,fulminante,fulminanterem,fulminanter,fulminanteste,fulminanten,fulminantem,fulminantestes,fulminantere,fulminantester",fulminant
funkeln,VVINF,0.004,"funkele,funkle,funkelst,funkelt,funklest,funklet,funkelte,funkeltest,funkelten,funkeltet,gefunkelt",funkeln
funktionieren,VVINF,0.004,"funktionierest,funktioniertet,funktionieret,funktioniere,funktioniert,funktionierten,funktionierst,funktionierte,funktioniertest",funktioni
funktionierend,ADJX,0.2022,"funktionierende,funktionierendem,funktionierenden,funktionierender,funktionierendes,funktionierendere,funktionierenderem,funktionierenderen,funktionierenderer,funktionierenderes,funktionierendste,funktionierendstem,funktionierendsten,funktionierendster,funktionierendstes",funktionier
funktionsfähig,ADJX,0.004,"funktionsfähigen,funktionsfähigste,funktionsfähigem,funktionsfähige,funktionsfähigsten,funktionsfähigeres,funktionsfähigstem,funktionsfähigster,funktionsfähigerer,funktionsfähigstes,funktionsfähigere,funktionsfähigerem,funktionsfähigeren,funktionsfähiger,funktionsfähiges",funktionsfah
furchtlos,ADJX,0.004,"furchtlosesten,furchtlosestem,furchtlosester,furchtlose,furchtloses,furchtloser,furchtlosere,furchtloseste,furchtlosestes,furchtlosem,furchtloserer,furchtlosen,furchtloseres,furchtloserem,furchtloseren",furchtlos
fähig,ADJX,0.004,"fähigeres,fähigerer,fähige,fähigem,fähigen,fähiges,fähiger,fähigstes,fähigster,fähigste,fähigere,fähigsten,fähigstem,fähigerem,fähigeren",fahig
fördern,VVINF,0.004,"gefördert,förderten,förderst,förderen,fördert,fördere,förderte,fördertet,fördertest",ford
führen,VVINF,0.004,"führtest,führten,führt,führe,führte,führst,führet,führtet,führest,geführt",fuhr
führend,ADJX,0.004,"führendstem,führendsten,führende,führenderes,führenderer,führendster,führendstes,führenderem,führendste,führenderen,führender,führendes,führenden,führendere,führendem",fuhrend
füllen,VVINF,0.004,"füllten,füllte,füllest,füllt,fülle,füllst,fülltet,füllet,fülltest,gefüllt",full
